"","Site_ID","Population_name","Start_year","End_year","Avg_p_chg"
"1","AITC","Barrientos Island (Aitcho Islands)","2003","2014","28.9416529247902"
"2","ALMI","Brown Station","1992","2008","3131.54642214593"
"3","ARDL","Ardley Island","1991","1994","2.80275745137022"
"4","BENE","Beneden Head","1993","2019","84.7631944774042"
"5","BISC","Biscoe Point","1998","2016","13392.9455396662"
"6","BROW","Brown Bluff","1989","2015","568.032411400778"
"7","CHPT","Charles Point","1991","2018","388.987528176977"
"8","CIER","Cierva Point","2001","2011","238.679916170863"
"9","CUVE","Cuverville Island","2010","2014","804.297557048157"
"10","DAMO","Dorian Bay/Damoy Point","1989","1999","35.9121253159806"
"11","DANC","Danco Island","1992","2016","72.8525325723795"
"12","DOBE","Dorian Beacon","1994","2007","324.381442221832"
"13","DUPT","Duthiers Point","1993","2019","450.2661177665"
"14","FORT","Fort Point (Greenwich Island)","1993","2019","636.380026509435"
"15","GALE","Galindez Island East","1986","2016","38975.4004406021"
"16","GEOR","Georges Point (Ronge Island)","2010","2019","108.743495297743"
"17","GERL","Gerlache Island","1998","2019","96.812641783636"
"18","GLAN","Glandaz Point","2008","2019","93.2542841275389"
"19","HANN","Hannah Point","2006","2016","25.7483125258372"
"20","HARM","Harmony Point","1998","1999","22.1815622673605"
"21","HERO","Heroina Island","1994","2015","444.265591910974"
"22","HOPE","Hope Bay","1991","2016","1546.20931139227"
"23","HUMP","Humphries Heights","1989","1999","27.2334050645542"
"24","JOUB","Joubin Islands","1989","2013","149.225126076027"
"25","LION","Lions Rump","1998","2016","148.539490013556"
"26","LLAN","Llano Point","1996","2016","330.428975712502"
"27","LOCK","Port Lockroy","1989","2014","82.8205193363765"
"28","LOUB","Loubat Point","1994","2015","130.277560460896"
"29","MIKK","Mikkelsen Harbor (Trinity Island)","1991","2016","146.61230670261"
"30","MOOT","Moot Point","1995","2019","3088.71903623026"
"31","NEKO","Neko Harbor (Andvord Bay)","1998","2016","89.0452506943633"
"32","NOPT","North Point","1995","2019","114.914719786941"
"33","ORNE","Orne Islands","2005","2018","972.330852722839"
"34","PCHA","Port Charcot","1992","2011","113.1209891932"
"35","PETE","Petermann Island","1993","2017","223.098951562567"
"36","PLEN","Pleneau Island","1992","2002","59.1697515809612"
"37","PTHO","Point Thomas","2003","2016","57.3874617111843"
"38","PYPT","Py Point","1993","2014","94.7689653068235"
"39","RONE","Ronge Island East","2012","2018","63.2962210920511"
"40","SELV","Selvick Cove","1993","2014","864.951642869653"
"41","SHIR","Cape Shirreff","1993","2016","130.798377782611"
"42","SKOT","Skottsberg Point","2001","2016","112.51976942673"
"43","SPTR","Spigot Peak Tripod","1993","2014","1286.86812992412"
"44","STER","Sterneck Island","1997","2005","151.928194486095"
"45","USEF","Useful Island","1991","2018","340.699541072746"
"46","WATE","Waterboat Point","1991","2014","247.00991649644"
"47","WPEC","Watson Peninsula (east coast)","1995","2013","101.762829187602"
"48","YALO","Yalour Islands","1992","2016","2879.63063790235"
"49","YANK","Yankee Harbor","1995","2008","60.9374379209071"
